Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Caller","?tie@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEPAV?$basic_ostream@DU?$char_traits@D@std@@@2@XZ","std::basic_ostream<char,std::char_traits<char> >::sentry::sentry",32,0.04,0.04,0.00,0.00,"ConsoleApplication2.exe",
"Root","?uncaught_exception@std@@YA_NXZ","?uncaught_exception@std@@YA_NXZ",32,0.23,0.23,0.00,0.00,"MSVCP120D.dll",
"Caller","?uncaught_exception@std@@YA_NXZ","std::basic_ostream<char,std::char_traits<char> >::sentry::~sentry",32,0.23,0.23,0.00,0.00,"ConsoleApplication2.exe",
"Root","?widen@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEDD@Z","?widen@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEDD@Z",10,0.16,0.16,0.00,0.00,"MSVCP120D.dll",
"Caller","?widen@?$basic_ios@DU?$char_traits@D@std@@@std@@QBEDD@Z","std::endl<char,std::char_traits<char> >",10,0.16,0.16,0.00,0.00,"ConsoleApplication2.exe",
"Root","?width@ios_base@std@@QAE_J_J@Z","?width@ios_base@std@@QAE_J_J@Z",32,0.04,0.04,0.00,0.00,"MSVCP120D.dll",
"Caller","?width@ios_base@std@@QAE_J_J@Z","std::operator<<<std::char_traits<char> >",5,0.01,0.01,0.00,0.00,"ConsoleApplication2.exe",
"Caller","?width@ios_base@std@@QAE_J_J@Z","std::operator<<<std::char_traits<char> >",27,0.03,0.03,0.00,0.00,"ConsoleApplication2.exe",
"Root","?width@ios_base@std@@QBE_JXZ","?width@ios_base@std@@QBE_JXZ",32,0.04,0.04,0.00,0.00,"MSVCP120D.dll",
"Caller","?width@ios_base@std@@QBE_JXZ","std::operator<<<std::char_traits<char> >",5,0.01,0.01,0.00,0.00,"ConsoleApplication2.exe",
"Caller","?width@ios_base@std@@QBE_JXZ","std::operator<<<std::char_traits<char> >",27,0.03,0.03,0.00,0.00,"ConsoleApplication2.exe",
"Root","[MSVCP120D.dll]","[MSVCP120D.dll]",32,0.05,0.05,0.00,0.00,"MSVCP120D.dll",
"Caller","[MSVCP120D.dll]","std::basic_ostream<char,std::char_traits<char> >::_Sentry_base::_Sentry_base",32,0.05,0.05,0.00,0.00,"ConsoleApplication2.exe",
"Root","[MSVCP120D.dll]","[MSVCP120D.dll]",32,0.07,0.07,0.00,0.00,"MSVCP120D.dll",
"Caller","[MSVCP120D.dll]","std::basic_ostream<char,std::char_traits<char> >::_Sentry_base::~_Sentry_base",32,0.07,0.07,0.00,0.00,"ConsoleApplication2.exe",
"Root","__atonexitinit","__atonexitinit",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","__atonexitinit","__tmainCRTStartup",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","__CxxSetUnhandledExceptionFilter","__CxxSetUnhandledExceptionFilter",1,0.55,0.55,0.03,0.03,"ConsoleApplication2.exe",
"Caller","__CxxSetUnhandledExceptionFilter","__tmainCRTStartup",1,0.55,0.55,0.03,0.03,"ConsoleApplication2.exe",
"Root","__getmainargs","__getmainargs",1,0.40,0.40,0.02,0.02,"MSVCR120D.dll",
"Caller","__getmainargs","pre_cpp_init",1,0.40,0.40,0.02,0.02,"ConsoleApplication2.exe",
