Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"String::String",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"`dynamic initializer for 'std::_Error_objects<int>::_System_object''",1,0.02,0.00,0.00,0.00,"ConsoleApplication2.exe",
"_CrtSetCheckCount",1,0.00,0.00,0.00,0.00,"MSVCR120D.dll",
"std::error_category::error_category",3,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"String_Buffer::remove_reference",3,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"std::_System_error_category::_System_error_category",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"`dynamic atexit destructor for 'std::_Error_objects<int>::_Generic_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"std::_Iostream_error_category::_Iostream_error_category",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"std::_Iostream_error_category::~_Iostream_error_category",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"__security_init_cookie",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"std::error_category::~error_category",3,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object''",1,0.02,0.00,0.00,0.00,"ConsoleApplication2.exe",
"std::_System_error_category::~_System_error_category",1,0.01,0.00,0.00,0.00,"ConsoleApplication2.exe",
"`dynamic atexit destructor for 'std::_Error_objects<int>::_Iostream_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"`dynamic atexit destructor for 'std::_Error_objects<int>::_System_object''",1,0.01,0.00,0.00,0.00,"ConsoleApplication2.exe",
"atexit",4,0.08,0.00,0.00,0.00,"ConsoleApplication2.exe",
"String_Buffer::add_reference",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"std::`dynamic initializer for 'piecewise_construct''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"std::`dynamic initializer for 'allocator_arg''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"__atonexitinit",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"_RTC_Initialize",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"_RTC_Terminate",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"_invoke_watson_if_error",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"pre_cpp_init",1,0.27,0.00,0.02,0.00,"ConsoleApplication2.exe",
"_onexit",4,0.08,0.00,0.00,0.00,"ConsoleApplication2.exe",
