Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Caller","_RTC_Terminate","exit",1,0.00,0.00,0.00,0.00,"MSVCR120D.dll",
"Root","_setdefaultprecision","_setdefaultprecision",1,0.13,0.13,0.01,0.01,"ConsoleApplication2.exe",
"Caller","_setdefaultprecision","pre_c_init",1,0.13,0.13,0.01,0.01,"ConsoleApplication2.exe",
"Callee","_setdefaultprecision","_invoke_watson_if_error",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","`dynamic atexit destructor for 'std::_Error_objects<int>::_Generic_object''","`dynamic atexit destructor for 'std::_Error_objects<int>::_Generic_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","`dynamic atexit destructor for 'std::_Error_objects<int>::_Generic_object''","exit",1,0.00,0.00,0.00,0.00,"MSVCR120D.dll",
"Callee","`dynamic atexit destructor for 'std::_Error_objects<int>::_Generic_object''","_RTC_CheckEsp",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","`dynamic atexit destructor for 'std::_Error_objects<int>::_Generic_object''","std::_Generic_error_category::~_Generic_error_category",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","`dynamic atexit destructor for 'std::_Error_objects<int>::_Iostream_object''","`dynamic atexit destructor for 'std::_Error_objects<int>::_Iostream_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","`dynamic atexit destructor for 'std::_Error_objects<int>::_Iostream_object''","exit",1,0.00,0.00,0.00,0.00,"MSVCR120D.dll",
"Callee","`dynamic atexit destructor for 'std::_Error_objects<int>::_Iostream_object''","_RTC_CheckEsp",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","`dynamic atexit destructor for 'std::_Error_objects<int>::_Iostream_object''","std::_Iostream_error_category::~_Iostream_error_category",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","`dynamic atexit destructor for 'std::_Error_objects<int>::_System_object''","`dynamic atexit destructor for 'std::_Error_objects<int>::_System_object''",1,0.01,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","`dynamic atexit destructor for 'std::_Error_objects<int>::_System_object''","exit",1,0.01,0.00,0.00,0.00,"MSVCR120D.dll",
"Callee","`dynamic atexit destructor for 'std::_Error_objects<int>::_System_object''","_RTC_CheckEsp",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","`dynamic atexit destructor for 'std::_Error_objects<int>::_System_object''","std::_System_error_category::~_System_error_category",1,0.01,0.00,0.00,0.00,"ConsoleApplication2.exe",
